company_id,filter_broad_yes,filter_strict_no,filter_broad_yes_strict_no,gemini_total_accepted,gpt5_total_accepted,claude_total_accepted,company_name,Total Headcount,max_headcount,max_population,Stage Reached,category,Organization Name
pyramid-cgi,0.0,0.0,0.0,,,,Pyramid Consulting Group,226,True,False,,,Pyramid Consulting Group
sieger-consulting,1.0,1.0,0.0,,,,Sieger,220,True,False,,,Sieger
mobcoder-llc,3.0,4.0,0.0,,,,Mobcoder,219,True,False,,,Mobcoder
leewayhertz-technologies,9.0,5.0,0.0,7.0,,,LeewayHertz Technologies,211,True,True,,,LeewayHertz Technologies
megamax-services,0.0,2.0,0.0,,,,Megamax Services,210,True,False,,,Megamax Services
avertra,0.0,1.0,0.0,1.0,,,Avertra,207,True,False,,,Avertra
agency-enterprise-studio,35.0,4.0,3.0,17.0,11.0,7.0,AE Studio,205,True,True,,,AE Studio
ai-consult,0.0,1.0,0.0,,,,AI Consult,203,True,False,,,AI Consult
binariks,0.0,3.0,0.0,,,,Binariks,203,True,False,,,Binariks
xitasogmbh,5.0,12.0,2.0,10.0,5.0,2.0,XITASO,198,True,True,,,XITASO
upstageai,16.0,23.0,7.0,46.0,27.0,19.0,Upstage,187,True,True,,,Upstage
abacusai,25.0,25.0,8.0,22.0,9.0,3.0,Abacus.AI,185,True,True,,,Abacus.AI
schafer-corporation,0.0,0.0,0.0,2.0,,,Schafer Corporation,176,True,False,,,Schafer Corporation
elder-research-inc-,23.0,6.0,0.0,,,,Elder Research,170,True,True,,,Elder Research
auriznco,9.0,5.0,1.0,9.0,4.0,1.0,Aurizn,169,True,True,,,Aurizn
nextgeninnovationlabs,1.0,0.0,0.0,,,,NEXTGEN,167,True,False,,,NEXTGEN
3157313,12.0,19.0,1.0,,,,Tooploox,163,True,True,,,Tooploox
1833,13.0,24.0,2.0,,,,Euranova,159,True,True,,,Euranova
sahanasystemltd,4.0,7.0,1.0,3.0,,,Sahana System,158,True,True,,,Sahana System
mp-data-ds,14.0,33.0,4.0,18.0,12.0,,MP DATA,145,True,True,,,MP DATA
unit8.co,23.0,15.0,3.0,,,,Unit8,141,True,True,,,Unit8
hcube-conseil,0.0,0.0,0.0,,,,Hcube Conseil,140,True,False,,,Hcube Conseil
intinc,0.0,0.0,0.0,,,,INT,140,True,False,,,INT
wearedragonfly,0.0,0.0,0.0,,,,Dragonfly,134,True,False,,,Dragonfly
spatialedge,23.0,21.0,6.0,15.0,,,Spatialedge,134,True,True,,,Spatialedge
mi-6-ltd,0.0,19.0,6.0,6.0,,,MI-6,130,True,True,,,MI-6
ml6team,14.0,19.0,0.0,32.0,17.0,4.0,ML6,130,True,True,,,ML6
konverge-ai,15.0,6.0,1.0,8.0,,,Konverge.AI,130,True,True,,,Konverge.AI
h.i.-iberia-ingenier-a-y-proyectos,4.0,9.0,2.0,10.0,7.0,,HI Iberia,118,True,True,,,HI Iberia
intelliarts,1.0,0.0,0.0,,,,Intelliarts,113,True,False,,,Intelliarts
infopower-corporation,0.0,0.0,0.0,,,,InfoPower,112,True,False,,,InfoPower
dextra-digital,0.0,1.0,0.0,,,,Dextra,109,True,False,,,Dextra
stme,0.0,0.0,0.0,,,,STME,109,True,False,,,STME
5390194,19.0,19.0,1.0,,,,deepsense.ai,108,True,True,,,deepsense.ai
theprobegroup,0.0,0.0,0.0,,,,Probe Group,107,True,False,,,Probe Group
gox-ltd,0.0,0.0,0.0,,,,GOX,103,True,False,,,GOX
fiddler-ai,13.0,5.0,2.0,5.0,1.0,1.0,Fiddler AI,102,True,True,,,Fiddler AI
tryolabs,13.0,21.0,3.0,24.0,16.0,5.0,Tryolabs,98,True,True,,,Tryolabs
xenonstack,3.0,2.0,0.0,2.0,,,XenonStack,96,True,False,,,XenonStack
closeloop-inc-,3.0,0.0,0.0,1.0,,,Closeloop Technologies,95,True,False,,,Closeloop Technologies
metric-am,0.0,0.0,0.0,,,,Metric,94,True,False,,,Metric
qvik-oy,3.0,1.0,0.0,1.0,,,Qvik,92,True,False,,,Qvik
altrium-io,6.0,2.0,0.0,4.0,,,Altrium,91,True,True,,,Altrium
xomnia,11.0,10.0,1.0,5.0,4.0,,Xomnia,91,True,True,,,Xomnia
cogent-labs,4.0,1.0,0.0,1.0,,,Cogent Labs,90,True,False,,,Cogent Labs
15177291,45.0,21.0,8.0,,,,Layer 6 AI,87,True,True,,,Layer 6 AI
daredata-engineering,23.0,8.0,1.0,,,,DareData,85,True,True,,,DareData
ntt-research,12.0,8.0,7.0,18.0,7.0,3.0,NTT Research,85,True,True,,,NTT Research
creatica-gmbh,0.0,0.0,0.0,1.0,,,Creatica,84,True,False,,,Creatica
halfspace,12.0,12.0,0.0,10.0,6.0,,Halfspace,81,True,True,,,Halfspace
guardians-infotech-llc,0.0,0.0,0.0,,,,Guardians Infotech,81,True,False,,,Guardians Infotech
xaion-data-inc,0.0,0.0,0.0,,,,Xaion Data,80,True,False,,,Xaion Data
mojotech,1.0,0.0,0.0,,,,MojoTech,80,True,False,,,MojoTech
liquid-ai-inc,28.0,20.0,11.0,24.0,25.0,21.0,Liquid AI,79,True,True,,,Liquid AI
93,1.0,1.0,0.0,,,,247 Labs,76,True,False,,,247 Labs
visium-sa,13.0,3.0,0.0,9.0,7.0,7.0,Visium,75,True,True,,,Visium
10533787,0.0,0.0,0.0,,,,Techspert,73,True,False,,,Techspert
enthought,17.0,6.0,5.0,11.0,4.0,1.0,Enthought,72,True,True,,,Enthought
reqpool-gmbh,0.0,0.0,0.0,,,,ReqPOOL,71,True,False,,,ReqPOOL
teamonegroup,0.0,0.0,0.0,,,,TeamOne Group,71,True,False,,,TeamOne Group
addepto,10.0,7.0,1.0,2.0,2.0,,Addepto,68,True,True,,,Addepto
exposit,0.0,1.0,0.0,,,,Exposit,66,True,False,,,Exposit
techsource-inc,0.0,0.0,0.0,,,,TechSource,66,True,False,,,TechSource
orcawise,10.0,0.0,0.0,10.0,3.0,,Orcawise,65,True,True,,,Orcawise
fs-studio,0.0,0.0,0.0,2.0,,,FS Studio,64,True,False,,,FS Studio
vsdata,0.0,0.0,0.0,,,,VS Data,64,True,False,,,VS Data
inflectionai,12.0,6.0,1.0,14.0,11.0,9.0,Inflection AI,63,True,True,,,Inflection AI
expos-data-exposed,4.0,0.0,0.0,1.0,,,Exposé,61,True,False,,,Exposé
partnershipai,5.0,0.0,0.0,,,,Partnership on AI,61,True,True,,,Partnership on AI
indata-labs,4.0,5.0,0.0,5.0,4.0,,InData Labs,59,True,True,,,InData Labs
merantix-momentum,12.0,6.0,4.0,12.0,9.0,1.0,Merantix Momentum,59,True,True,,,Merantix Momentum
launchpad-lab,0.0,0.0,0.0,,,,LaunchPad Lab,59,True,False,,,LaunchPad Lab
markovate,5.0,0.0,0.0,1.0,,,Markovate Inc.,57,True,True,,,Markovate Inc.
moov-ai,5.0,1.0,0.0,5.0,2.0,1.0,Moov AI,57,True,True,,,Moov AI
tagtoo,0.0,1.0,0.0,,,,Tagtoo Technology,56,True,False,,,Tagtoo Technology
info-strategic,4.0,1.0,0.0,2.0,1.0,,Info Strategic,56,True,False,,,Info Strategic
wednesday-solutions,0.0,0.0,0.0,,,,Wednesday Solutions,55,True,False,,,Wednesday Solutions
crea-pro,1.0,1.0,1.0,,,,CREA pro,52,True,False,,,CREA pro
fraktal-as,1.0,0.0,0.0,1.0,1.0,,Fraktal Norge,52,True,False,,,Fraktal Norge
neurosys,0.0,2.0,1.0,1.0,2.0,2.0,NeuroSYS,52,True,False,,,NeuroSYS
recursive-ai,7.0,3.0,1.0,5.0,4.0,3.0,Recursive,52,True,True,,,Recursive
etalytics,1.0,0.0,0.0,,,,etalytics,51,True,False,,,etalytics
bigthinkcode,2.0,1.0,1.0,1.0,,,BigThinkCode Technologies,51,True,False,,,BigThinkCode Technologies
13626360,2.0,1.0,0.0,,,,ESSI Integrated Technologies,50,True,False,,,ESSI Integrated Technologies
searchmetrics-inc,1.0,0.0,0.0,,,,Searchmetrics,50,True,False,,,Searchmetrics
latticeflow,6.0,12.0,3.0,,,,LatticeFlow,48,True,True,,,LatticeFlow
hacksoft,0.0,0.0,0.0,,,,HackSoft,46,True,False,,,HackSoft
tapptitude,0.0,0.0,0.0,,,,Tapptitude,45,True,False,,,Tapptitude
winstars-tecnology,1.0,6.0,2.0,,,,R&D Center WINSTARS.AI,43,True,True,,,R&D Center WINSTARS.AI
divedeepai,10.0,3.0,0.0,10.0,5.0,1.0,DiveDeepAI,43,True,True,,,DiveDeepAI
netguru,0.0,0.0,0.0,,,,Netguru,43,True,False,,,Netguru
objetivasolucao,0.0,0.0,0.0,,,,Objetiva Solução,42,True,False,,,Objetiva Solução
fundaci-n-centro-supercomputaci-n-castilla-y-le-n-fcsc-,8.0,1.0,0.0,,,,EuroCC,42,True,True,,,EuroCC
andro-computational-solutions-llc,4.0,3.0,0.0,4.0,2.0,1.0,ANDRO Computational Solutions,41,True,False,,,ANDRO Computational Solutions
digitalleague,0.0,0.0,0.0,1.0,,,League of Digital Economy,38,True,False,,,League of Digital Economy
ventagium,0.0,1.0,0.0,1.0,,,Ventagium Data Consulting,38,True,False,,,Ventagium Data Consulting
3alica,0.0,2.0,0.0,,,,3Alica,38,True,False,,,3Alica
orobix-srl,3.0,0.0,1.0,4.0,2.0,1.0,Orobix,38,True,False,,,Orobix
archiot-digital-solutions-pvt-ltd,0.0,1.0,0.0,,,,Archiot,38,True,False,,,Archiot
eigen-tech,0.0,1.0,0.0,,,,Eigen,36,True,False,,,Eigen
123049,0.0,2.0,0.0,,,,Beeby Clark+Meyler,35,True,False,,,Beeby Clark+Meyler
effixis,7.0,1.0,0.0,8.0,4.0,,Effixis,34,True,True,,,Effixis
pitt-technology-group,0.0,0.0,0.0,,,,Pitt Technology Group,34,True,False,,,Pitt Technology Group
statsoft-europe-gmbh,1.0,7.0,1.0,,,,StatSoft,33,True,True,,,StatSoft
vinai-research,13.0,18.0,1.0,44.0,31.0,18.0,VinAI Research,33,True,True,,,VinAI Research
applied-data-science,4.0,3.0,0.0,1.0,1.0,,Applied Data Science Partners,33,True,False,,,Applied Data Science Partners
11351707,11.0,6.0,0.0,,,,Infinia ML,33,True,True,,,Infinia ML
19004657,1.0,1.0,1.0,,,,Perfsol,33,True,False,,,Perfsol
rci-analytics-intelligence,0.0,1.0,0.0,,,,RCI Analytics Intelligence,32,True,False,,,RCI Analytics Intelligence
numlabs,2.0,6.0,0.0,5.0,4.0,1.0,Numlabs,32,True,True,,,Numlabs
adaptive-ml,8.0,10.0,6.0,8.0,8.0,6.0,Adaptive ML,31,True,True,,,Adaptive ML
kaeyros-analytics,0.0,0.0,0.0,,,,Kaeyros Analytics,31,True,False,,,Kaeyros Analytics
siali,0.0,4.0,0.0,2.0,,,Siali,31,True,False,,,Siali
bysgrup,0.0,0.0,0.0,,,,Bys Grup,30,True,False,,,Bys Grup
atmo-ai,7.0,6.0,0.0,1.0,1.0,1.0,Atmo,30,True,True,,,Atmo
datapy,0.0,1.0,0.0,,,,Datapy,29,True,False,,,Datapy
xcale-consulting,2.0,0.0,0.0,,,,XCALE Tech,29,True,False,,,XCALE Tech
nuaig,2.0,1.0,1.0,2.0,,,NuAIg AI Consulting,29,True,False,,,NuAIg AI Consulting
chase-consultancy-services,0.0,0.0,0.0,,,,Chase Consultancy Services,29,True,False,,,Chase Consultancy Services
grps-lab-private-limited,0.0,0.0,0.0,,,,GRPS Lab,28,True,False,,,GRPS Lab
datarootlabs,1.0,9.0,1.0,5.0,3.0,,DataRoot Labs,28,True,True,,,DataRoot Labs
lucientdata,0.0,1.0,0.0,,,,Lucient,27,True,False,,,Lucient
modulai,14.0,6.0,5.0,12.0,10.0,3.0,Modulai,27,True,True,,,Modulai
chipside-limited,0.0,0.0,0.0,1.0,1.0,,Chipside,27,True,False,,,Chipside
jaam-automation,1.0,0.0,0.0,1.0,1.0,1.0,Jaam Automation,26,True,False,,,Jaam Automation
droidsagency,1.0,2.0,1.0,3.0,1.0,,Droids Agency,26,True,False,,,Droids Agency
bravinci,3.0,0.0,0.0,1.0,,,Bravinci,26,True,False,,,Bravinci
407,0.0,0.0,0.0,,,,Systemware Innovation,26,True,False,,,Systemware Innovation
ml-cube,11.0,11.0,3.0,8.0,3.0,2.0,ML cube,25,True,True,,,ML cube
lbox-co-ltd,0.0,0.0,0.0,3.0,3.0,2.0,LBox Co,25,True,False,,,LBox Co
iceapple-technology-solutions,1.0,0.0,0.0,,,,IceApple Technology Solutions,24,True,False,,,IceApple Technology Solutions
brainpool-ltd,3.0,0.0,0.0,3.0,2.0,1.0,Brainpool AI,24,True,False,,,Brainpool AI
itspeoplenederland,0.0,1.0,0.0,,,,ITsPeople,23,True,False,,,ITsPeople
bigdata-republic,4.0,4.0,0.0,4.0,2.0,,BigData Republic,23,True,False,,,BigData Republic
cosmosthrace,1.0,1.0,0.0,1.0,,,Cosmos Thrace,23,True,False,,,Cosmos Thrace
softtact,1.0,0.0,0.0,,,,Softtact,23,True,False,,,Softtact
monadical,3.0,0.0,0.0,1.0,1.0,1.0,Monadical,23,True,False,,,Monadical
digitalstrategyinnovation,6.0,4.0,0.0,1.0,,,Digital Strategy Innovation,22,True,True,,,Digital Strategy Innovation
imandra,5.0,0.0,2.0,9.0,3.0,3.0,Imandra,22,True,True,,,Imandra
alltegrio,0.0,0.0,0.0,,,,Alltegrio,22,True,False,,,Alltegrio
rare-mile-technologies,0.0,0.0,0.0,,,,Rare Mile Technologies,22,True,False,,,Rare Mile Technologies
thinkcol-limited,0.0,0.0,0.0,2.0,2.0,,ThinkCol,22,True,False,,,ThinkCol
grenoblepartners,1.0,2.0,0.0,1.0,1.0,,Grenoble Partners,21,True,False,,,Grenoble Partners
1262,0.0,3.0,0.0,,,,IBM Consulting,21,True,False,,,IBM Consulting
inferlink-corporation,6.0,2.0,0.0,6.0,4.0,2.0,InferLink,21,True,True,,,InferLink
neural-magic,5.0,3.0,2.0,1.0,1.0,1.0,Neural Magic,21,True,True,,,Neural Magic
2133,0.0,0.0,0.0,,,,Total Synergy Consulting,21,True,False,,,Total Synergy Consulting
2195,0.0,2.0,0.0,,,,SpecTal,20,True,False,,,SpecTal
infer-solutions,0.0,1.0,0.0,1.0,,,Infer Solutions,20,True,False,,,Infer Solutions
kifwat-india,0.0,0.0,0.0,,,,Kifwat India,20,True,False,,,Kifwat India
isboptimus,0.0,0.0,0.0,,,,ISB Optimus,20,True,False,,,ISB Optimus
austin-technology,0.0,0.0,0.0,,,,Austin Technology,20,True,False,,,Austin Technology
the-idea-works-inc.,0.0,0.0,0.0,,,,The Idea Works,20,True,False,,,The Idea Works
softshark,1.0,0.0,0.0,,,,SoftShark,19,True,False,,,SoftShark
2721,0.0,0.0,0.0,,,,Data Innovation Labs,19,True,False,,,Data Innovation Labs
tensorleap,1.0,5.0,1.0,2.0,1.0,,Tensorleap,19,True,True,,,Tensorleap
onepredict,2.0,2.0,1.0,3.0,,,onepredict,19,True,False,,,onepredict
amai-gmbh,4.0,3.0,0.0,6.0,3.0,2.0,AMAI,19,True,True,,,AMAI
29332820,2.0,0.0,0.0,,,,CourtCorrect,18,True,False,,,CourtCorrect
miracle-finland-oy,0.0,0.0,0.0,,,,Miracle Finland,18,True,False,,,Miracle Finland
dain-protocol,0.0,4.0,0.0,,,,Dain,18,True,False,,,Dain
spark-wave,3.0,0.0,0.0,,,,Spark Wave,18,True,False,,,Spark Wave
5onenalytics,0.0,0.0,0.0,,,,5ONE Analytics,17,True,False,,,5ONE Analytics
enliteai,2.0,1.0,0.0,1.0,1.0,1.0,EnliteAI,17,True,False,,,EnliteAI
hexafoldtech,0.0,0.0,0.0,,,,Hexafold Technologies,17,True,False,,,Hexafold Technologies
lund&bendsen-as,0.0,0.0,0.0,,,,Lund&Bendsen,17,True,False,,,Lund&Bendsen
projak-infotech-pvt-ltd,0.0,0.0,0.0,,,,Projak Infotech,16,True,False,,,Projak Infotech
lexoro,1.0,1.0,1.0,,,,lexoro,16,True,False,,,lexoro
pims-associates-limited,0.0,0.0,0.0,,,,pims.ai,16,True,False,,,pims.ai
rotunda-solutions,3.0,0.0,1.0,1.0,1.0,,Rotunda Solutions,16,True,False,,,Rotunda Solutions
nnaisense,3.0,4.0,2.0,5.0,5.0,4.0,NNAISENSE,16,True,True,,,NNAISENSE
deepneuronic,3.0,7.0,3.0,4.0,3.0,1.0,DeepNeuronic,16,True,True,,,DeepNeuronic
15213340,1.0,3.0,0.0,,,,MindTitan,16,True,False,,,MindTitan
prioritytechnologies8,0.0,0.0,0.0,,,,Priority Technologies,16,True,False,,,Priority Technologies
techno-pro-india,0.0,0.0,0.0,,,,TechnoPro India,15,True,False,,,TechnoPro India
xpertdataworks,0.0,0.0,0.0,,,,Xpert Data Works,15,True,False,,,Xpert Data Works
craftworks-gmbh,0.0,0.0,0.0,1.0,,,craftworks,15,True,False,,,craftworks
seedbox-ventures,1.0,1.0,1.0,,,,Seedbox,15,True,False,,,Seedbox
aitil,0.0,0.0,0.0,,,,AITIL,15,True,False,,,AITIL
68326,0.0,0.0,0.0,,,,Sigma Software,15,True,False,,,Sigma Software
plantechdev,0.0,1.0,0.0,,,,Plantech,14,True,False,,,Plantech
cybersift.io,1.0,0.0,0.0,,,,Cybersift,14,True,False,,,Cybersift
pentadata,0.0,0.0,0.0,,,,Pentadata Infokom Persada,14,True,False,,,Pentadata Infokom Persada
talentech-digital-llc,2.0,0.0,0.0,,,,TalenTech Digital,14,True,False,,,TalenTech Digital
bds-chile,0.0,0.0,0.0,,,,Business Data Solutions,13,True,False,,,Business Data Solutions
deepmetis,0.0,0.0,0.0,2.0,1.0,,DeepMetis,13,True,False,,,DeepMetis
idalab-gmbh,0.0,2.0,0.0,1.0,1.0,,idalab,13,True,False,,,idalab
nibgat,0.0,0.0,0.0,,,,NİBGAT®,12,True,False,,,NİBGAT®
2118,1.0,1.0,1.0,,,,Isazi Consulting,12,True,False,,,Isazi Consulting
latamdigi,0.0,0.0,0.0,,,,Latam Digital,12,True,False,,,Latam Digital
ai-superior,5.0,1.0,0.0,1.0,1.0,,AI Superior,12,True,True,,,AI Superior
saige-research,1.0,0.0,1.0,,,,Saige Research,12,True,False,,,Saige Research
kineo-ai,2.0,1.0,0.0,1.0,1.0,,kineo.ai,12,True,False,,,kineo.ai
irrevo,0.0,0.0,0.0,,,,Irrevo,12,True,False,,,Irrevo
sharpware,1.0,0.0,0.0,,,,Sharpware,12,True,False,,,Sharpware
sr-international-inc,0.0,0.0,0.0,,,,SR International,12,True,False,,,SR International
overcode.tech,0.0,0.0,0.0,,,,OVERCODE,12,True,False,,,OVERCODE
augur-it-consulting,0.0,0.0,0.0,,,,Augur IT Consulting,12,True,False,,,Augur IT Consulting
gamax-laboratory-solutions,0.0,0.0,0.0,,,,Gamax Laboratory Solutions,11,True,False,,,Gamax Laboratory Solutions
boltzbit,4.0,2.0,1.0,1.0,1.0,1.0,Boltzbit,11,True,False,,,Boltzbit
themoonshotfactory,1.0,0.0,0.0,,,,The Moonshot Factory,11,True,False,,,The Moonshot Factory
analytics-town,0.0,0.0,0.0,,,,Analytics Town,11,True,False,,,Analytics Town
intelligichain,0.0,0.0,0.0,2.0,,,IntelligiChain,11,True,False,,,IntelligiChain
cst-global-llc,0.0,0.0,0.0,,,,ClearSource,11,True,False,,,ClearSource
kapahi-industries-private-limited,0.0,0.0,0.0,,,,Kapahi Industries,10,True,False,,,Kapahi Industries
www-doublecheckconsulting-com,0.0,0.0,0.0,,,,Double Check Consulting,10,True,False,,,Double Check Consulting
chi-squarex,4.0,3.0,1.0,,,,Chi SquareX,10,True,False,,,Chi SquareX
