id,organization_name,Category_ML_Org,Source,headquarters_location,linkedin_id,total_headcount,filter_broad_yes,filter_strict_no,filter_broad_yes_strict_no,filter_non_english_keywords_CV,claude_total_employees,claude_total_rejected,claude_total_accepted,gpt5_total_employees,gpt5_total_rejected,gpt5_total_accepted,gemini_total_employees,gemini_total_rejected,gemini_total_accepted,LLM_count_within_3x_filter,max_headcount,max_population,max_percentage,talent_dense,stage_reached,category,Headquarters Location,Total Headcount,Organization Name,Stage Reached,Founded Date,country,subregion,ml_share,ml_share_lower80,ml_share_upper80,mean,q10,q50,q90,synthetic_mean,synthetic_q10,synthetic_q50,synthetic_q90,adjusted_synthetic_mean,adjusted_synthetic_q10,adjusted_synthetic_q50,adjusted_synthetic_q90,synthetic_adjustment_factor
11,LawZero,Established_ML_Org,Manual Selection,Canada,lawzero,11,4.0,2.0,1.0,7,8,4,4.0,8,3,5.0,8,3,5.0,True,True,True,True,False,,,Canada,11,LawZero,,2025,Unknown,Unknown,0.0,0.0,0.0,2.4033203125,0.0,2.0,5.0,1.1142578125,0.0,1.0,3.0,0.8914563740581422,0.0,0.8000449842555106,2.400134952766532,1.2499297160528535
12,Thinking Machines Lab,Established_ML_Org,Manual Selection,United States,,67,22.0,15.0,12.0,40,,,,,,,,,,False,True,True,True,False,,,United States,67,Thinking Machines Lab,,2025,Unknown,Unknown,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535
13,Hugging Face,Established_ML_Org,Manual Selection,United States,huggingface,603,91.0,48.0,14.0,217,329,262,67.0,329,251,78.0,324,210,114.0,True,True,True,True,False,,,United States,603,Hugging Face,,2016,Unknown,Unknown,0.0,0.0,0.0,50.6064453125,27.0,46.0,80.0,20.6904296875,7.300000000000011,19.0,36.0,16.553274493575685,5.840328385065236,15.2008547008547,28.80161943319838,1.2499297160528535
14,Midjourney,Established_ML_Org,Manual Selection,United States,midjourney,171,16.0,15.0,7.0,79,88,77,11.0,88,75,13.0,88,68,20.0,True,True,True,True,False,,,United States,171,Midjourney,,2021,Unknown,Unknown,0.0,0.0,0.0,8.306640625,3.0,8.0,15.0,5.59765625,1.0,5.0,11.0,4.478376806399011,0.8000449842555106,4.000224921277553,8.800494826810617,1.2499297160528535
15,Cohere,Established_ML_Org,Manual Selection,Canada,cohere-ai,810,183.0,73.0,42.0,494,,,,,,,,,,False,True,True,True,False,,,Canada,810,Cohere,,2019,Unknown,Unknown,0.0,0.0,0.0,,,,,57.787109375,25.0,54.0,95.0,46.232287010093344,20.001124606387766,43.202429149797574,76.0042735042735,1.2499297160528535
16,Perplexity AI,Established_ML_Org,Manual Selection,United States,perplexity-ai,1000,135.0,25.0,7.0,532,569,555,14.0,569,551,18.0,564,500,64.0,True,True,True,True,False,,,United States,1000,Perplexity AI,,2022,Unknown,Unknown,0.0,0.0,0.0,13.96484375,6.0,13.0,23.0,4.9375,0.0,4.0,11.0,3.9502221097615835,0.0,3.2001799370220425,8.800494826810617,1.2499297160528535
17,Mistral AI,Established_ML_Org,Manual Selection,France,mistralai,440,80.0,52.0,32.0,305,293,232,61.0,292,219,73.0,290,190,100.0,True,True,True,True,False,,,France,440,Mistral AI,,2023,Unknown,Unknown,0.0,0.0,0.0,31.115234375,12.0,27.0,57.0,34.923828125,12.300000000000011,32.0,62.0,27.940633522407783,9.84055330634279,25.60143949617634,49.60278902384166,1.2499297160528535
18,Character.AI,Established_ML_Org,Manual Selection,United States,character-ai,207,20.0,9.0,3.0,68,132,123,9.0,132,122,10.0,132,107,25.0,True,True,True,True,False,,,United States,207,Character.AI,,2021,Unknown,Unknown,0.0,0.0,0.0,7.7373046875,3.0,7.0,13.0,4.763671875,1.0,4.0,9.0,3.8111517902327936,0.8000449842555106,3.2001799370220425,7.200404858299595,1.2499297160528535
19,AI21 Labs,Established_ML_Org,Manual Selection,Israel,ai21,250,17.0,24.0,8.0,34,221,204,17.0,221,198,23.0,218,180,38.0,True,True,True,True,False,,,Israel,250,AI21 Labs,,2017,Unknown,Unknown,0.0,0.0,0.0,7.244140625,2.0,6.0,14.0,8.4443359375,2.0,8.0,16.0,6.75584861216543,1.6000899685110213,6.400359874044085,12.80071974808817,1.2499297160528535
20,Baidu Research (Baidu USA),Established_ML_Org,Manual Selection,China,baidu-usa,238,14.0,7.0,3.0,73,162,156,6.0,162,150,12.0,156,130,26.0,True,True,True,True,False,,,China,238,Baidu Research (Baidu USA),,2000,Unknown,Unknown,0.0,0.0,0.0,5.310546875,1.0,5.0,11.0,4.5693359375,1.0,4.0,9.0,3.655674298175326,0.8000449842555106,3.2001799370220425,7.200404858299595,1.2499297160528535
