id,organization_name,Claude Rating,Combined,MAX Human rating Fit yes / no,RED Human rating Fit yes / no,Comments,Description,Full Description,Organization Category,Source,Organization Name URL,Stage,Industries,headquarters_location,CB Rank (Company),Headquarters Regions,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,linkedin_id,ID_copy,Facebook,Twitter,Website,Phone Number,Contact Email,IT Spend,IT Spend Currency,IT Spend (in USD),Trademarks Registered,Patents Granted,Average Visits (6 months),Monthly Visits,Similar Companies,IPO Status,IPO Date,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Acquisition Type,Number of Acquisitions,Acquisition Status,Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Funding Rounds,Funding Status,Number of Employees,Number of Founders,Founders,Industry Groups,Operating Status,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Exits (IPO),Number of Exits,Number of Diversity Investments,Number of Lead Investments,filter_broad_yes,filter_strict_no,filter_broad_yes_strict_no,filter_non_english_keywords_CV,total_headcount,claude_total_employees,claude_total_rejected,claude_total_accepted,gpt5_total_employees,gpt5_total_rejected,gpt5_total_accepted,gemini_total_employees,gemini_total_rejected,gemini_total_accepted,stage_reached,category,max_headcount,max_population,Headquarters Location,Total Headcount,Organization Name,Stage Reached,Founded Date,country,subregion,ml_share,ml_share_lower80,ml_share_upper80,mean,q10,q50,q90
1188,Kainos,"3.5 (Other.Strong fit)

Kainos is primarily a software development and IT consulting company focused on sectors like public services, healthcare, and financial services. While they likely use technology that includes some AI components, their core business is not specifically ML consultancy or pure AI research. Their focus on providing digital technology solutions, implementation services for Workday, and healthcare record products fits strongly in the ""Other"" category.",1,,1,,"Kainos provide digital technology solutions that enable companies to work smarter, faster, better.","Kainos Software Limited is a privately held software company headquartered in Belfast, Northern Ireland that develops information technology solutions for businesses and organisations particularly in the public, healthcare and financial services sectors. The company also provides consulting and support services. Kainos has offices in the UK, Ireland, Poland and the U.S., and provides services to its customers across Europe, the Middle East, Africa and North America. Kainos is one of Workday’s main implementation partners for the Workday SaaS product, and have developed Kainos Smart, an automated testing tool for Workday implementations. In the UK, Kainos provide an electronic medical record product for the digitisation of patient notes in the NHS called Evolve. The company also has a long-standing partnership with Autonomy delivering projects to organisations in Europe and Africa. Kainos has been a Microsoft Gold Certified Partner for more than 10 years, and was one of Microsoft's first Gold partners. Today, Kainos is one of Northern Ireland's largest high-tech companies, and one of the top companies in the UK and Ireland.",,ML conferences affiliation data,https://www.crunchbase.com/organization/kainos-software,,"Consulting, Financial Services, Health Care, Information Technology, Software","Belfast, Belfast, United Kingdom",233206,"Europe, Middle East, and Africa (EMEA)",day,2015-07-10,day,,,For Profit,kainos,1188,http://www.facebook.com/KainosSoftware,http://twitter.com/KainosSoftware,http://www.kainos.com,617 217 2704,info@kainos.com,3056458,USD,3056458,,,,26234,10,Public,2015-07-10,,,,,,,,6,Made Acquisitions,QUBIS,,1,1,IPO,501-1000,1,Frank Graham,"Financial Services, Health Care, Information Technology, Professional Services, Software",Active,,,2,2,,1,,,26.0,16.0,0.0,585,2900,2334,2334,0.0,2332,2329,3.0,2327,2322,5.0,,,True,True,"Belfast, Belfast, United Kingdom",2900,Kainos,,1986-04-14 00:00:00,Unknown,Unknown,0.0,0.0,0.0,2.7431640625,0.0,2.0,6.0
32,BCG X,"3.5 (Other.Strong fit)

The Boston Consulting Group (BCG) is clearly a management consulting firm focused on business strategy and organizational matters. While they may have some AI/ML offerings as part of their services, their primary business is traditional management consulting across various industries. They don't appear to be primarily focused on ML consulting (category 1) or fundamental AI research (category 2), making category 3 (Other) the appropriate classification with a strong confidence score.",1,,1,REPEAT (for BCG-X),Boston Consulting Group is a management consulting firm that advises clients on business strategy and organizational matters.,"The Boston Consulting Group is a global management consulting firm and an advisor on business strategy. The firm partners with clients in all sectors and regions to identify their opportunities, address their critical challenges, and transform their businesses. The Boston Consulting Group was founded in July 1963 by Bruce Henderson and is headquartered in Boston, Massachusetts. It has 82 offices in 46 countries.",,Manual Search + Network,https://www.crunchbase.com/organization/boston-consulting-group,,"Business Development, Consulting, Innovation Management, Management Consulting, Marketing","Boston, Massachusetts, United States",57361,"Greater Boston Area, East Coast, New England",day,,,,,For Profit,bcg-x,32,https://www.facebook.com/pg/BostonConsultingGroup,http://twitter.com/BCG,http://www.bcg.com,912267497000,rec.prc@bcg.com,902747582,USD,902747582,170,35,2241871.33,2166802,12,Private,,,,,,,,,5,Made Acquisitions,,,,,,10001,1,Bruce Henderson,"Professional Services, Sales and Marketing",Active,,,13,16,1,1,3,3,219.0,69.0,15.0,1100,2600,1396,1384,12.0,1398,1353,45.0,1395,1292,103.0,,,True,True,"Boston, Massachusetts, United States",2600,BCG X,,1963-07-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,13.0205078125,5.0,12.0,22.0
50,ELEKS,1.3 (category.score),1,1,,,YOUR TECHNOLOGY PARTNER FOR SOFTWARE INNOVATION AND MARKET-LEADING SOLUTIONS,"ELEKS is the partner of choice for many of the world’s leading enterprises and technology companies. With about 1,500 experts across Europe, the US and Canada, ELEKS helps businesses elevate their value through custom software development, product design, QA and consultancy services.",,Manual Search + Network,https://www.crunchbase.com/organization/eleks-inc,,"Consulting, Enterprise Software, Outsourcing, Retail Technology, Smart Contracts, Software","Lviv, L'vivs'ka Oblast', Ukraine",208712,"Europe, Middle East, and Africa (EMEA)",year,,,,,For Profit,eleks,50,http://www.facebook.com/ELEKS.Software,http://twitter.com/ELEKSSoftware,http://www.eleks.com,1(702)765-4466,eleksinfo@eleks.com,,,,1,0,408035.83,371020,8,Private,,,,,,,,,,,,,,,,1001-5000,2,"Oleksiy Skrypnyk, Oleksiy Skrypnyk, Sr","Blockchain and Cryptocurrency, Commerce and Shopping, Hardware, Professional Services, Software",Active,,,1,1,,,1,,5.0,12.0,1.0,99,1900,1607,1607,0.0,1604,1604,0.0,1600,1597,3.0,,,True,True,"Lviv, L'vivs'ka Oblast', Ukraine",1900,ELEKS,,1991-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,1.71484375,0.0,1.0,4.0
65,twoday,"3.5 (Other.Strong fit)

The company description clearly indicates a full-service technology firm focused on general software development, data analytics, and business intelligence. While these services might occasionally involve ML components, there's no specific mention of machine learning, deep learning, or reinforcement learning services. It also doesn't appear to be conducting fundamental AI research. The description best fits the ""Other"" category with a strong confidence score since it's definitively a technology services company that falls outside the specific ML consultancy or pure AI research categories.",1,,1,,"twoday is a full-service technology firm specializing in software development, data analytics, and business intelligence.","twoday is a full-service technology firm specializing in software development, data analytics, and business intelligence.",,Manual Search + Network,https://www.crunchbase.com/organization/twoday,,"Consulting, Financial Services, Software","Copenhagen, Hovedstaden, Denmark",256918,"European Union (EU), Nordic Countries, Scandinavia",,,,,,For Profit,65,65,,,https://www.twoday.com,,,,,,2,0,76592.0,54234,9,Private,,,,,,,,,2,Made Acquisitions,,,,,,1001-5000,,,"Financial Services, Professional Services, Software",Active,,,,,,,,,16.0,24.0,1.0,272,1900,,,,,,,,,,,,True,True,"Copenhagen, Hovedstaden, Denmark",1900,twoday,,,Unknown,Unknown,0.0,0.0,0.0,,,,
38,Itransition,"1.3 (ML Consultancy.Moderate fit)

The company is primarily a software development company offering various services, with machine learning listed as one of their capabilities. While they do provide ML services (making category 1 appropriate), they are not exclusively focused on ML/AI as they offer a wide range of other software development services. The moderate confidence score (3) reflects that ML is part of their service offering but not their sole or primary focus.",1,1,,,Global Software Engineering Company,Itransition is a trusted global software development company with more than 20 years of professional experience. We deliver a full spectrum of software consulting and development services to clients from more than 30 countries. Over 3000 + diverse IT professionals with strong technology skills and business knowledge and mature methodologies enable us to effectively handle software projects of any scale and complexity.,,Manual Search + Network,https://www.crunchbase.com/organization/itransition,,"Augmented Reality, Document Management, Information Technology, IT Management, Machine Learning, Mobile Apps, Service Industry, Software Engineering, Virtual Reality, Web Development","Denver, Colorado, United States",103914,"Greater Denver Area, Western US",year,,,,,For Profit,10921,38,http://www.facebook.com/Itransition,http://twitter.com/itransition,https://www.itransition.com,[⚠ Claude for Sheets™ RECALCULATING ⚠] =+1 720 207 2820,info@itransition.com,48621445,USD,48621445,,,208167.5,151662,9,Private,,,,,,,,,,,,,,,,1001-5000,2,"Alex Demichev, Sergey Gvardeitsev","Apps, Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Mobile, Other, Science and Engineering, Software",Active,,,,,,,,,6.0,7.0,0.0,43,1500,,,,,,,,,,,,True,True,"Denver, Colorado, United States",1500,Itransition,,1998-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,,,,
1929,GalaxE.Solutions,1.4 (category.score),1,1,,,"GalaxE.Solutions provides application development, artificial intelligence, and business consulting services.","GalaxE.Solutions provides application development, artificial intelligence, and business consulting services.",,crunchbase search,https://www.crunchbase.com/organization/galaxe-solutions,,"Apps, Artificial Intelligence (AI), Consulting, Software","Somerset, New Jersey, United States",260168,"Greater New York Area, East Coast, Northeastern US",day,2024-02-29,day,,,For Profit,galaxe-solutions,1929,https://www.facebook.com/GalaxE.Solutions/,https://twitter.com/GalaxESolutions,https://galaxe.com/,1-732-868-0400,info@galaxe.com,,,,,,,,14,Private,,GalaxE.Solutions acquired by Endava,https://www.crunchbase.com/acquisition/endava-acquires-galaxe-solutions--1620cddf,Endava,https://www.crunchbase.com/organization/endava,2024-02-29,day,Acquisition,,Was Acquired,,,,,M&A,1001-5000,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",Active,,,,,,,,,4.0,9.0,0.0,55,1300,1109,1109,0.0,1109,1109,0.0,1102,1102,0.0,,,True,True,"Somerset, New Jersey, United States",1300,GalaxE.Solutions,,1990-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,1.20703125,0.0,1.0,3.0
1009,Naver Cloud,"3.5 (Other.Strong fit)

This company appears to be primarily a cloud infrastructure and services provider, offering general cloud computing solutions rather than specializing in ML consulting or conducting fundamental AI research. While they likely offer some AI/ML tools within their cloud ecosystem, their core business seems to be broader cloud computing infrastructure and services.",1,,1,,"NAVER Cloud is an IT firm that provides cloud-based solutions to businesses of all sizes, thereby, helping businesses overcome challenges.",,,ML conferences affiliation data,https://www.crunchbase.com/organization/naver-cloud,,"Cloud Computing, Cloud Data Services, Cloud Infrastructure, Information Technology","Seongnam, Kyonggi-do, South Korea",56727,Asia-Pacific (APAC),day,,,,,For Profit,navercloud,1009,https://www.facebook.com/navercloudplatform/,https://twitter.com/NAVER__Cloud,https://www.navercloudcorp.com/,#ERROR!,,,,,5,30,42404.5,54733,9,Private,,,,,,,,,,,,,,,,501-1000,,,"Hardware, Information Technology, Internet Services, Software",Active,,,9,9,1,1,,7,44.0,57.0,18.0,131,1300,886,808,78.0,885,778,107.0,881,746,135.0,,,True,True,"Seongnam, Kyonggi-do, South Korea",1300,Naver Cloud,,2009-05-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,22.5361328125,12.0,20.0,35.0
514,UMD,"3.5 (Other.Strong fit)

This company clearly falls into the ""Other"" category as it's an IT service company focused on ICT solutions, RFID, data capture, and sensor networks, without specific mention of machine learning services or fundamental AI research.",1,,1,,"UMD is an IT service company that offers engineering ICT solutions, interfacing, RFID, data capture and intelligent sensor networks.",,,arxiv affiliation meta-data,https://www.crunchbase.com/organization/umd-eaaf,,"Information and Communications Technology (ICT), Information Technology, Sensor","Clayton, Victoria, Australia",1304270,"Asia-Pacific (APAC), Australasia",year,,,,,For Profit,unique-micro-design-pty-ltd,514,https://www.facebook.com/Unique-Micro-Design-145702972152258,https://twitter.com/UMD_Clayton,https://umd.com.au/,#ERROR!,sales@umd.com.au,,,,,,,4923,3,Private,,,,,,,,,,,,,,,,11-50,,,"Hardware, Information Technology",Active,,,,,,,,,11.0,6.0,3.0,329,1300,15,15,0.0,15,15,0.0,15,15,0.0,,,True,True,"Clayton, Victoria, Australia",1300,UMD,,1983-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,1.212890625,0.0,1.0,3.0
1200,G-Research,1.4 (ML Consultancy.Strong fit),1,1,,,G-Research is a research and technology company that specializes in Quantitative Research and IT Infrastructure.,"G-Research is a research and technology company that specializes in quantitative research, IT infrastructure, and machine learning. It offers a software platform that utilizes machine learning and big data analytics to predict movements in financial markets. The company was founded in 2001 and headquartered in London, England.",,ML conferences affiliation data,https://www.crunchbase.com/organization/g-research,,"Business Intelligence, Cyber Security, Information Technology, Machine Learning, Natural Language Processing, Software Engineering","London, England, United Kingdom",240708,"Europe, Middle East, and Africa (EMEA)",year,,,,,For Profit,g-research,1200,https://www.facebook.com/gresearchcareers,https://www.twitter.com/gresearchjobs,http://www.gresearch.co.uk,2076317500,recruitmentteam@gresearch.co.uk,,,,,,,,10,Private,,,,,,,,,,,,,,,,251-500,3,"Ben Leadsom, Chris Goddard, Jennifer Coyle Byrne","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",Active,,,,,,,,,69.0,43.0,19.0,531,1100,886,870,16.0,887,864,23.0,883,834,49.0,,,True,True,"London, England, United Kingdom",1100,G-Research,,2001-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,6.5751953125,3.0,6.0,11.0
42,Coherent Solutions,"3.5 (Other - Strong fit)

This company appears to be a traditional software development and outsourcing firm established in 1995, with no specific mention of machine learning services or fundamental AI research. Their focus is on custom software product development, offshore delivery models, and reducing development costs for clients. The description emphasizes general software engineering capabilities rather than specialized AI services or research.",1,,1,,"Custom software product development - Process driven, technology enabled, and people powered. 30-Years of delivering exceptional service.","Since 1995, Coherent Solutions has helped clients reduce development and maintenance costs and bring products and complex applications to market faster. With experienced teams in the U.S. and Eastern Europe, the company's model yields superior results as it combines expertise in commercial grade software development, a proven global delivery model, and a passionate commitment to client success. Coherent Solutions delivers its services through a combination of U.S.-based resources and offshore resources located in its Development Center in Minsk. Its outsourcing model delivers better value and relies on two key components: (1) value added U.S. delivery management and (2) integration and transparency across the service delivery supply chain. Coherent Solutions™ model promotes flexibility in serving its clients. This approach allows customers to choose the distribution of resources that best fits the needs of their business and technology environment. Delivery capabilities in the U.S. include project management, business analysis, architecture, and design. Delivery capabilities offshore focus on architecture, design, development, and testing activities.",,Manual Search + Network,https://www.crunchbase.com/organization/coherent-solutions,,"Outsourcing, Software","Minneapolis, Minnesota, United States",160981,"Greater Minneapolis-Saint Paul Area, Great Lakes, Midwestern US",year,,,,,For Profit,coherent-solutions,42,http://www.facebook.com/coherentsolutions,http://twitter.com/CoherentTweets,http://www.coherentsolutions.com,516-375-9412,jeffschuit@coherentsolutions.com,18618359,USD,18618359,,,,38299,8,Private,,,,,,,,,,,,,,,,501-1000,1,Igor Epshteyn,"Professional Services, Software",Active,,,,,,,,,6.0,7.0,1.0,49,1100,505,505,0.0,504,502,2.0,503,499,4.0,,,True,True,"Minneapolis, Minnesota, United States",1100,Coherent Solutions,,1995-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,2.1142578125,0.0,2.0,5.0
15,Faculty,"1.4 (ML Consultancy.Strong fit)

Faculty appears to be primarily a ML consultancy that provides AI services and solutions to clients across public and private sectors. They offer a decision intelligence software platform called Frontier that uses AI to help organizations make better decisions based on their data. While they mention being a ""leading artificial intelligence company,"" their focus seems to be on applied AI for business purposes rather than fundamental AI research. The description indicates they've worked with over 300 customers implementing AI solutions, which strongly aligns with category 1 (ML Consultancy).",1,1,,,Faculty is one of Europe’s leading artificial intelligence companies. Our guiding mission has been to bring the benefits of AI to everyone.,"Faculty is one of Europe’s leading applied artificial intelligence companies. We provide customers with decision intelligence software, Frontier, that integrates data from multiple systems to show what’s going to happen, why and what organisations should do about it. We believe that AI should be safe, ethical and beneficial across society. Those principles have shaped our work with more than 300 customers across the public and private sectors as we help them use AI to move beyond data and make better decisions.",,Manual Search + Network,https://www.crunchbase.com/organization/facultyai,,"Artificial Intelligence (AI), B2B, Information Technology, Machine Learning, SaaS, Software","London, England, United Kingdom",10182,"Europe, Middle East, and Africa (EMEA)",month,,,,,For Profit,facultyai,15,https://www.facebook.com/facultyAI/,https://twitter.com/faculty_ai,https://faculty.ai/,[⚠ Claude for Sheets™ RECALCULATING ⚠] =+44 20 3637 9415,info@faculty.ai,475968,USD,475968,7,0,,9881,7,Private,,,,,,,,,,,"Mercuri, Apax Digital, Cambridge Angels group, Upscale, Future Fifty",3,5,6,Early Stage Venture,251-500,1,Angie Ma,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Science and Engineering, Software",Active,,,,,,,,,83.0,39.0,15.0,386,939,403,396,7.0,401,360,41.0,401,353,48.0,,,True,True,"London, England, United Kingdom",939,Faculty,,2014-02-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,29.0458984375,15.0,27.0,45.0
621,Cohere,"1.4 (ML Consultancy.Strong fit)

Cohere primarily fits into the ML Consultancy category as it provides machine learning services and solutions through its NLP and language model deployments for enterprises. The company offers API-based access to models for specific tasks and enables integration with business systems across industries. While they conduct some research, their main focus appears to be on delivering practical AI solutions to businesses rather than conducting fundamental AI research like category 2 organizations. The strong (but not perfect) fit rating reflects their clear focus on enterprise ML solutions.",1,1,,,Cohere is an enterprise AI firm developing secure and private AI technology to address real-world business challenges.,"Cohere develops artificial intelligence solutions for enterprises, focusing on natural language processing and large language model deployments. The company offers API-based access to models that support tasks such as summarization, search, classification, and content generation. It enables organizations to integrate these models into internal systems across regulated industries, including finance and healthcare. Cohere provides infrastructure that is cloud-agnostic and can be deployed on-premise or across public clouds. It also supports retrieval-augmented generation and offers tooling designed to align models with enterprise data and compliance needs. In addition to its core technology, Cohere engages in research and partnerships to advance language model capabilities in multilingual and enterprise-specific applications. Cohere is headquartered in Toronto and San Francisco and also has offices in London, New York and Montreal.",,ML conferences affiliation data,https://www.crunchbase.com/organization/cohere-82b8,,"Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing","Toronto, Ontario, Canada",20,Great Lakes,year,,,,,For Profit,cohere-ai,621,,https://x.com/cohere,https://cohere.com,,team@cohere.ai,,,,3,2,558231.0,409048,9,Private,,,,,,,,,1,Made Acquisitions,"NVIDIA, Alumni Ventures, Index Ventures, Radical Ventures, SentinelOne",6,36,8,Late Stage Venture,251-500,3,"Aidan Gomez, Ivan Zhang, Nick Frosst","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Active,Angel Group,,2,2,,,,,187.0,75.0,45.0,497,831,638,553,85.0,638,526,112.0,636,500,136.0,,,True,True,"Toronto, Ontario, Canada",831,Cohere,,2019-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,48.4521484375,26.0,45.0,76.0
44,Cambridge Consultants,"3.5 (Other.Strong fit)

The description indicates Cambridge Consultants is a general product development consultancy that works across multiple industries. While they may incorporate some ML/AI elements in their work, there's no specific mention of machine learning services as a primary focus. The description emphasizes broad product development expertise across medical technology, wireless communications, consumer and industrial products, rather than specialized AI consultancy or fundamental AI research.",1,,1,,Cambridge Consultants provides product development consultancy services to well-established companies and start-ups.,"Cambridge Consultants provides product development consultancy services to well-established companies. For 50 years, Cambridge Consultants has led the way in innovative product development. They are the development partner of choice to many of the world’s leading blue chips as well as the virtual development team for ambitious start-up companies. With offices in Cambridge (UK), Boston (USA) and Singapore, Cambridge Consultants specialized in developing exceptional products in record time for clients around the world. This expertise further allows them to provide insight on a range of technology critical issues and markets. The company has a pedigree and track record in markets such as MedTech, Wireless Communications and Consumer, and Industrial Products.",,Manual Search + Network,https://www.crunchbase.com/organization/cambridge-consultants,,"Innovation Management, Product Design","Cambridge, Massachusetts, United States",164620,"Greater Boston Area, East Coast, New England",year,2021-06-24,day,,,For Profit,cambridge-consultants,44,http://www.facebook.com/cambridgeconsultantsuk,http://twitter.com/CambConsultants,http://www.cambridgeconsultants.com,[⚠ Claude for Sheets™ RECALCULATING ⚠] =+44 1223 420024,info@cambridgeconsultants.com,,,,16,63,,19127,9,Private,,Cambridge Consultants acquired by Capgemini,https://www.crunchbase.com/acquisition/cap-gemini-acquires-cambridge-consultants--b433c7c6,Capgemini,https://www.crunchbase.com/organization/cap-gemini,2021-06-24,day,Acquisition,1,"Made Acquisitions, Was Acquired",Barclays Investment Bank,1,1,1,M&A,501-1000,3,"David Southward, Rodney Dale, Tim Eiloart","Design, Professional Services",Active,,,2,5,,1,,,26.0,14.0,3.0,424,794,625,622,3.0,625,614,11.0,624,597,27.0,,,True,True,"Cambridge, Massachusetts, United States",794,Cambridge Consultants,,1960-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,6.68359375,2.0,6.0,13.0
743,Cerebras Systems,"3.4

Cerebras Systems is primarily a hardware company that creates specialized computing systems for AI, not an ML consultancy or pure research organization. While they enable AI work through their hardware innovations, they don't provide ML consulting services (category 1) or conduct fundamental AI research (category 2). They fall into the ""Other"" category as a hardware/infrastructure provider for AI, with a strong fit (4) since their business is clearly focused on building specialized computing systems for deep learning.",1,,1,,"Cerebras Systems is an AI computing system company that provides deep learning applications, super computing, and cloud services.","Cerebras Systems focuses on creating innovative computing systems specifically designed to accelerate deep learning tasks. The company combines expertise in computer architecture and machine learning to build a new class of computer systems that enhance AI performance. By leveraging unique design principles, Cerebras aims to transform the future of AI work through its groundbreaking technology.",,ML conferences affiliation data,https://www.crunchbase.com/organization/cerebras-systems,,"Artificial Intelligence (AI), Computer, Hardware, Software","Sunnyvale, California, United States",3687,"San Francisco Bay Area, Silicon Valley, West Coast",day,,,,,For Profit,cerebras-systems,743,,https://twitter.com/cerebrassystems,https://cerebras.ai,#ERROR!,info@cerebras.ai,3174299,USD,3174299,5,80,163300.33,83767,33,Private,,,,,,,,,,,"Sequoia Capital, Eclipse Ventures, Coatue, Foundation Capital, SV Angel",4,17,7,Late Stage Venture,251-500,5,"Andrew Feldman, Gary Lauterbach, Jean-Philippe Fricker, Michael James, Sean Lie","Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",Active,,,,,,,,,142.0,71.0,22.0,423,726,582,513,69.0,582,506,76.0,580,438,142.0,,,True,True,"Sunnyvale, California, United States",726,Cerebras Systems,,2016-04-20 00:00:00,Unknown,Unknown,0.0,0.0,0.0,39.35546875,21.0,36.0,61.0
276,Akvelon,"3.5 (Other - Strong fit)

This company appears to be a general IT consulting and software development firm. While they might engage in some ML-related projects as part of their broad service offerings, their primary focus isn't specifically on ML consultancy (category 1) or fundamental AI research (category 2). Their described specialties (Cloud Computing, Mobile Applications, CRM, SharePoint, etc.) and functional capabilities suggest they're a general technology consulting firm, making category 3 (Other) the best fit with a strong confidence score.",1,,1,,Akvelon is a business and technology consulting firm that provides IT consulting and software development services.,"Akvelon, a business and technology consulting firm, works with clients to achieve success in their strategic goals and day-to-day missions. Akvelon was founded in 2000 to provide superior IT consulting and software development services. Our clients range from tiny start-ups to global corporations, many with deep roots in the Puget Sound region. Akvelon is growing rapidly, with over two hundred employees at four offices worldwide. We are creative, innovative, driven to excel, and passionate about technology. Akvelon was recently recognized by the Puget Sound Business Journal as one of the fastest growing private companies in Washington State for the third year in a row. Akvelon’s corporate headquarters in Bellevue, Washington hosts top management, including the CEO, Vice President, and Director of Sales, as well as account executives, project managers, finance, and administrative staff. Akvelon has earned a solid reputation with clients and partners for successfully applying cutting-edge technology to problems in fields as diverse as mobile technology, finance, and healthcare. Areas of Specialization: Cloud Computing and Cloud Applications Business Efficiency with Enterprise and Custom  Applications Mobile Applications Expertise in the following functional capabilities: Business analysis Business intelligence Infrastructure solutions Application and product development Software testing services Specialties Microsoft Certified, Dynamics CRM, SharePoint, Mobile Applications, C/C++ / Win32 / WCF / WPF / Embedded / Virtualization, Porting and Web-Enabling Legacy Applications, Budgeted projects and/or Team Extensions",,arxiv affiliation meta-data,https://www.crunchbase.com/organization/akvelon,,"Mobile, Software, Web Development","Bellevue, Washington, United States",224624,"Greater Seattle Area, West Coast, Western US",year,,,,,For Profit,akvelon,276,https://www.facebook.com/Akvelon,https://twitter.com/AkvelonInc,https://akvelon.com/,206-905-4626,info@akvelon.com,10983583,USD,10983583,1,0,,4344,5,Private,,,,,,,,,,,,,,,,1001-5000,2,"Constantine Korovkin, Sergei Dreizin","Mobile, Software",Active,,,,,,,,,13.0,10.0,0.0,25,688,599,598,1.0,597,595,2.0,593,588,5.0,,,True,True,"Bellevue, Washington, United States",688,Akvelon,,2000-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,5.1494140625,1.0,5.0,9.0
285,Science Systems and Applications,"3.5 (Other.Strong fit)

The description focuses on science, engineering, and IT support services without specific mention of ML consulting or pure AI research as primary business activities. While machine learning is listed in the industries, the core business appears to be broader scientific and engineering services, making it a strong fit for the ""Other"" category.",1,,1,,"Scientific Systems and Applications is a science, engineering and information analytics company.","Science Systems and Applications specializes in scientific, engineering, and IT support services. Their engineers design and build technology to gather accurate data that keeps them informed. They provide information technology solutions to meet the needs of customers and their end users.",,arxiv affiliation meta-data,https://www.crunchbase.com/organization/science-systems-and-applications,,"Machine Learning, Manufacturing, Software Engineering, Web Development","Lanham, Maryland, United States",235103,"Washington DC Metro Area, East Coast, Southern US",year,,,,,For Profit,166110,285,https://www.facebook.com/SSAIHQ,,https://www.ssaihq.com,#ERROR!,business.development@ssaihq.com,11070772,USD,11070772,,,,3076,8,Private,,,,,,,,,,,,,,,,501-1000,,,"Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software",Active,,,,,,,,,39.0,10.0,7.0,163,652,,,,,,,,,,,,True,True,"Lanham, Maryland, United States",652,Science Systems and Applications,,1977-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,,,,
1283,Coexya,"3.5 (Other.Strong fit)

The description clearly presents Coexya as a digital consulting, integration, and software development company. While they may incorporate some ML/AI solutions in their services, there's no explicit mention of machine learning or AI as a core focus. They are described as a general digital services provider with consulting and software development capabilities, which places them firmly in the ""Other"" category with a strong fit (5).",1,,1,,"Coexya is an independent digital leader in consulting, integration, and software development.","Coexya is an independent digital leader in consulting, integration, and software development.",,ML conferences affiliation data,https://www.crunchbase.com/organization/coexya,,"Consulting, Software","Saint-didier-au-mont-d'or, Rhone-Alpes, France",340945,"European Union (EU), Europe, Middle East, and Africa (EMEA)",year,2024-07-16,day,,,For Profit,coexya,1283,https://www.facebook.com/Coexya/,https://twitter.com/coexya_group,https://www.coexya.eu/,,,1587520,USD,1587520,4,0,,8892,10,Private,,Coexya acquired by Talan,https://www.crunchbase.com/acquisition/talan-acquires-coexya--fa48b7bc,Talan,https://www.crunchbase.com/organization/talan,2024-07-16,day,Acquisition,1,"Made Acquisitions, Was Acquired",,,,,M&A,501-1000,,,"Professional Services, Software",Active,,,,,,,,,3.0,15.0,1.0,618,648,570,569,1.0,569,566,3.0,570,563,7.0,,,True,True,"Saint-didier-au-mont-d'or, Rhone-Alpes, France",648,Coexya,,2020-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,3.8076171875,1.0,3.0,8.0
