company_id,filter_broad_yes,filter_strict_no,filter_broad_yes_strict_no,gemini_total_accepted,gpt5_total_accepted,claude_total_accepted,company_name,Total Headcount,max_headcount,max_population,Stage Reached,category,Organization Name,ml_consensus_round,ml_lower80_round,ml_upper80_round,uncertainty_factor_x,k_methods,outlier_flag_gt3x,ml_share,ml_share_lower80,ml_share_upper80,debiased__filter_broad_yes,debiased__filter_strict_no,debiased__filter_broad_yes_strict_no,debiased__claude_total_accepted,debiased__gpt5_total_accepted,debiased__gemini_total_accepted,filter_broad_yes__zero_replaced,filter_strict_no__zero_replaced,filter_broad_yes_strict_no__zero_replaced,claude_total_accepted__zero_replaced,gpt5_total_accepted__zero_replaced,gemini_total_accepted__zero_replaced,filter_broad_yes__num,filter_strict_no__num,filter_broad_yes_strict_no__num,claude_total_accepted__num,gpt5_total_accepted__num,gemini_total_accepted__num,filter_broad_yes__adj,filter_strict_no__adj,filter_broad_yes_strict_no__adj,claude_total_accepted__adj,gpt5_total_accepted__adj,gemini_total_accepted__adj
abacusai,25.0,25.0,8.0,22.0,9.0,3.0,Abacus.AI,185,True,True,,,Abacus.AI,11,7,25,3.7725353376466084,6,False,0.05945945945945946,0.03783783783783784,0.13513513513513514,24.999999999999996,24.999999999999996,7.999999999999998,5.489381284220914,9.000000000000002,13.914021704740872,False,False,False,False,False,False,25.0,25.0,8.0,3.0,9.0,22.0,25.0,25.0,8.0,3.0,9.0,22.0
3157313,12.0,19.0,1.0,,,,Tooploox,163,True,True,,,Tooploox,12,2,17,10.543938903738729,3,True,0.0736196319018405,0.012269938650306749,0.10429447852760736,12.0,18.999999999999996,1.0,,,,False,False,False,False,False,False,12.0,19.0,1.0,,,,12.0,19.0,1.0,,,
1833,13.0,24.0,2.0,,,,Euranova,159,True,True,,,Euranova,13,3,21,7.300372102718469,3,True,0.08176100628930817,0.018867924528301886,0.1320754716981132,13.0,24.000000000000004,2.0,,,,False,False,False,False,False,False,13.0,24.0,2.0,,,,13.0,24.0,2.0,,,
mp-data-ds,14.0,33.0,4.0,18.0,12.0,,MP DATA,145,True,True,,,MP DATA,12,6,23,3.853031708881003,5,False,0.08275862068965517,0.041379310344827586,0.15862068965517243,13.999999999999996,33.0,4.0,,12.0,11.384199576606163,False,False,False,False,False,False,14.0,33.0,4.0,,12.0,18.0,14.0,33.0,4.0,,12.0,18.0
unit8.co,23.0,15.0,3.0,,,,Unit8,141,True,True,,,Unit8,15,4,21,5.101351689692994,3,True,0.10638297872340426,0.028368794326241134,0.14893617021276595,23.0,15.0,3.0000000000000004,,,,False,False,False,False,False,False,23.0,15.0,3.0,,,,23.0,15.0,3.0,,,
spatialedge,23.0,21.0,6.0,15.0,,,Spatialedge,134,True,True,,,Spatialedge,14,7,22,3.251120166126498,4,False,0.1044776119402985,0.05223880597014925,0.16417910447761194,23.0,21.0,6.0,,,9.486832980505138,False,False,False,False,False,False,23.0,21.0,6.0,,,15.0,23.0,21.0,6.0,,,15.0
ml6team,14.0,19.0,0.0,32.0,17.0,4.0,ML6,130,True,True,,,ML6,15,2,20,10.250633789817483,6,True,0.11538461538461539,0.015384615384615385,0.15384615384615385,13.999999999999996,18.999999999999996,0.5,7.319175045627885,17.0,20.23857702507763,False,False,True,False,False,False,14.0,19.0,0.0,4.0,17.0,32.0,14.0,19.0,0.5,4.0,17.0,32.0
5390194,19.0,19.0,1.0,,,,deepsense.ai,108,True,True,,,deepsense.ai,19,2,19,10.543938903738729,3,True,0.17592592592592593,0.018518518518518517,0.17592592592592593,18.999999999999996,18.999999999999996,1.0,,,,False,False,False,False,False,False,19.0,19.0,1.0,,,,19.0,19.0,1.0,,,
tryolabs,13.0,21.0,3.0,24.0,16.0,5.0,Tryolabs,98,True,True,,,Tryolabs,14,5,18,3.498830775433598,6,True,0.14285714285714285,0.05102040816326531,0.1836734693877551,13.0,21.0,3.0000000000000004,9.148968807034858,15.999999999999998,15.178932768808222,False,False,False,False,False,False,13.0,21.0,3.0,5.0,16.0,24.0,13.0,21.0,3.0,5.0,16.0,24.0
15177291,45.0,21.0,8.0,,,,Layer 6 AI,87,True,True,,,Layer 6 AI,21,10,39,3.9819703454810056,3,False,0.2413793103448276,0.11494252873563218,0.4482758620689655,44.99999999999999,21.0,7.999999999999998,,,,False,False,False,False,False,False,45.0,21.0,8.0,,,,45.0,21.0,8.0,,,
liquid-ai-inc,28.0,20.0,11.0,24.0,25.0,21.0,Liquid AI,79,True,True,,,Liquid AI,22,13,33,2.538474312663129,6,False,0.27848101265822783,0.16455696202531644,0.4177215189873418,27.999999999999996,19.999999999999996,11.000000000000002,38.425668989546395,24.999999999999996,15.178932768808222,False,False,False,False,False,False,28.0,20.0,11.0,21.0,25.0,24.0,28.0,20.0,11.0,21.0,25.0,24.0
inflectionai,12.0,6.0,1.0,14.0,11.0,9.0,Inflection AI,63,True,True,,,Inflection AI,10,2,14,5.7390145238817345,6,True,0.15873015873015872,0.031746031746031744,0.2222222222222222,12.0,6.0,1.0,16.468143852662745,11.000000000000002,8.85437744847146,False,False,False,False,False,False,12.0,6.0,1.0,9.0,11.0,14.0,12.0,6.0,1.0,9.0,11.0,14.0
vinai-research,13.0,18.0,1.0,44.0,31.0,18.0,VinAI Research,33,True,True,,,VinAI Research,22,4,32,8.8623009638715,6,True,0.6666666666666666,0.12121212121212122,0.9696969696969697,13.0,17.999999999999996,1.0,32.936287705325476,31.0,27.828043409481733,False,False,False,False,False,False,13.0,18.0,1.0,18.0,31.0,44.0,13.0,18.0,1.0,18.0,31.0,44.0
