id,organization_name,Claude Rating,Combined,MAX Human rating Fit yes / no,RED Human rating Fit yes / no,Comments,Description,Full Description,Organization Category,Source,Organization Name URL,Stage,Industries,headquarters_location,CB Rank (Company),Headquarters Regions,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,linkedin_id,ID_copy,Facebook,Twitter,Website,Phone Number,Contact Email,IT Spend,IT Spend Currency,IT Spend (in USD),Trademarks Registered,Patents Granted,Average Visits (6 months),Monthly Visits,Similar Companies,IPO Status,IPO Date,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Acquisition Type,Number of Acquisitions,Acquisition Status,Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Funding Rounds,Funding Status,Number of Employees,Number of Founders,Founders,Industry Groups,Operating Status,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Exits (IPO),Number of Exits,Number of Diversity Investments,Number of Lead Investments,filter_broad_yes,filter_strict_no,filter_broad_yes_strict_no,filter_non_english_keywords_CV,total_headcount,claude_total_employees,claude_total_rejected,claude_total_accepted,gpt5_total_employees,gpt5_total_rejected,gpt5_total_accepted,gemini_total_employees,gemini_total_rejected,gemini_total_accepted,stage_reached,category,max_headcount,max_population,Headquarters Location,Total Headcount,Organization Name,Stage Reached,Founded Date,country,subregion,ml_share,ml_share_lower80,ml_share_upper80,company_id,company_name
1928,Charter Global,"3.5 (Other.Strong fit)

Charter Global appears to be a broad IT services and consulting company that offers various technology solutions including artificial intelligence as one of many service offerings. While they mention AI as part of their practice areas, their primary business model seems to be as a general technology services partner rather than specializing specifically in ML consulting or conducting pure AI research. They offer a wide range of services beyond AI (digital transformation, automation, migration, custom development, etc.), making them a strong fit for the ""Other"" category.",1,,1,,IT Services & IT Consulting,"Charter Global is Strategic Technology Services Partner. Our engagements are locally managed and globally executed. Our expert teams transform technology vision to realize business outcomes. Headquartered in Atlanta, GA, with development centers in India and Serbia, Charter Global specializes in delivering scalable, cost-effective enterprise technology solutions. Our dedicated practices span digital transformation, artificial intelligence, intelligent automation, migration & integration, strategic advisory, custom development, people solutions and security. Through strategic partnerships with Microsoft, Pega, IBM, and SAP, we provide a flexible global delivery model that aligns innovative technology with business outcomes, empowering organizations to achieve success.",,crunchbase search,https://www.crunchbase.com/organization/charter-global,,"Big Data, Consulting, Information Technology","Atlanta, Georgia, United States",260058,"Greater Atlanta Area, East Coast, Southern US",day,,,,,For Profit,46119?trk=tyah&trkInfo=tas%3Acharter%20g%2Cidx%3A1-1-1,1928,http://www.facebook.com/pages/Charter-Global-Inc/168197963233768,http://twitter.com/CharterGlobalCG,http://www.charterglobal.com,770-326-9933,atlantaoffice@charterglobal.com,,,,,,,,2,Private,,,,,,,,,,,,,,,,1001-5000,1,Murli Reddy,"Data and Analytics, Information Technology, Professional Services",Active,,,,,,,,,3.0,0.0,0.0,13,395,,,,,,,,,,,,True,False,"Atlanta, Georgia, United States",395,Charter Global,,1994-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,46119?trk=tyah&trkInfo=tas%3Acharter%20g%2Cidx%3A1-1-1,Charter Global
1313,ESTsoft,"3.4 (Other.Strong fit)

ESTsoft appears to be a general software company with AI capabilities among its broader portfolio, but doesn't specifically focus on ML consultancy services or fundamental AI research. While AI is mentioned in their description, they have multiple focus areas including commerce and security, and their categories span several domains beyond AI. This makes them a strong fit for the ""Other"" category rather than being primarily an ML consultancy or pure AI research organization.",1,,1,,"ESTsoft is a software company that focuses on AI humans, technology, commerce, and security.",,,ML conferences affiliation data,https://www.crunchbase.com/organization/estsoft-edef,,"Artificial Intelligence (AI), Information Technology, Security, Software","Seoul, Seoul-t'ukpyolsi, South Korea",453902,Asia-Pacific (APAC),year,,,,,For Profit,estsoft-corp,1313,https://www.facebook.com/estsoftfb/,,https://www.estsoft.ai,#ERROR!,recruit@estsoft.com,,,,,,,18078,15,Private,,,,,,,,,,,,,,,,501-1000,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",Active,,,,,,,,,0.0,0.0,0.0,119,388,264,262,2.0,264,256,8.0,264,254,10.0,,,True,True,"Seoul, Seoul-t'ukpyolsi, South Korea",388,ESTsoft,,1993-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,estsoft-corp,ESTsoft
2005,VRIZE,"1.4 (ML Consultancy.Strong fit)

The description clearly indicates VRIZE offers artificial intelligence services alongside analytics and platform engineering as part of their consulting offerings. They specifically mention AI as one of their core services and are categorized under ""Artificial Intelligence (AI)"" in their industry classification. While they're not purely focused on ML (they also do platform engineering and other services), they appear to be primarily a consultancy that includes ML/AI solutions as a significant part of their business, making them a strong fit for category 1.",1,1,,,"VRIZE company offers a range of services, such as platform engineering, advanced analytics, and artificial intelligence.","VRIZE team is made up of a collection of seasoned professionals who aim for exceptional outcomes. The company offers a range of services, such as platform engineering, advanced analytics, and artificial intelligence, with the goal of giving its clients a frictionless digital engineering experience.",,crunchbase search,https://www.crunchbase.com/organization/vrize-2795,,"Analytics, Artificial Intelligence (AI), Consulting","Tampa, Florida, United States",373637,"Tampa Bay Area, East Coast, Southern US",year,,,,,For Profit,vrizeinc,2005,https://www.facebook.com/people/VRIZE/100063968444473,https://twitter.com/vrizeinc?lang=en,https://www.vrize.com,,info@VRIZE.com,,,,,,,,10,Private,,,,,,,,,1,Made Acquisitions,,,,,,251-500,,,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",Active,,,,,,,,,2.0,4.0,1.0,16,373,321,321,,321,321,,321,320,1.0,,,True,False,"Tampa, Florida, United States",373,VRIZE,,2020-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,vrizeinc,VRIZE
2105,Closer Consulting,"1.4 (ML Consultancy.Strong fit)

The description clearly indicates a company that provides machine learning and AI services across multiple industries, making it primarily a ML Consultancy. The strong emphasis on Data Science, Advanced Analytics, and AI implementation for business clients across various sectors supports this categorization with high confidence. While they mention AI capabilities, there's no indication they conduct fundamental AI research like category 2 organizations.",1,1,,,"Data Science company focused in the areas of Artificial Intelligence, Advanced Analytics and Data Engineering.","Founded in 2006 with the mission “To Challenge Complexity”, Closer is a Data Science company specialized in Advanced Analytics, Business Intelligence and Data Engineering. With strong expertise in a wide range of industries - Banking, Telecommunications, Insurance, Retail, Aviation or Automotive -, Closer has a multicultural team of +350 collaborators from 16 nationalities and offices in United Kingdom, Portugal and Brazil.",,crunchbase search,https://www.crunchbase.com/organization/closer-consulting,,"Analytics, Artificial Intelligence (AI), Big Data, Consulting, Information Technology, Machine Learning, Software","Lisbon, Lisboa, Portugal",570333,"European Union (EU), Europe, Middle East, and Africa (EMEA)",day,,,,,For Profit,closer,2105,https://www.facebook.com/closerconsulting/,https://twitter.com/CloserGroup,http://www.closer.pt,(+351) 217 957 426,marketing@closer.pt,,,,,,,,41,Private,,,,,,,,,,,,,,,,251-500,2,"Fernando Matos, Joao Pires da Cruz","Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software",Active,,,,,,,,,14.0,8.0,2.0,273,361,290,290,,289,288,1.0,290,283,7.0,,,True,True,"Lisbon, Lisboa, Portugal",361,Closer Consulting,,2006-02-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,closer,Closer Consulting
1165,RedMane Technology LLC,"3.5 (Other.Strong fit)

RedMane Technology appears to be a general IT company that specializes in software services, without specific mention of machine learning or AI research as core offerings. The description mentions information technology, software services, consumer electronics and hardware, but contains no references to ML, AI, or research activities, making it a strong fit for the ""Other"" category.",1,,1,,RedMane Technology is an information technology company specializing in software services,,,ML conferences affiliation data,https://www.crunchbase.com/organization/redmane-technology-llc,,"Computer, Information Technology, Software","Chicago, Illinois, United States",213966,"Greater Chicago Area, Great Lakes, Midwestern US",year,,,,,For Profit,redmane-technology,1165,,,http://redmane.com,773-693-3627,info@redmane.com,1603959,USD,1603959,1,0,,17510,15,Private,,,,,,,,,,,,,,,,101-250,1,Tony Lakier,"Consumer Electronics, Hardware, Information Technology, Software",Active,,,,,,,,,6.0,5.0,0.0,79,351,292,292,,292,291,1.0,291,290,1.0,,,True,True,"Chicago, Illinois, United States",351,RedMane Technology LLC,,2000-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,redmane-technology,RedMane Technology LLC
1953,Edvantis,"3.4 (Other.Strong fit)

Edvantis appears to be a general software development and IT consulting company that includes AI as one of several service offerings alongside staff augmentation, digital transformation, and other IT services. While AI is mentioned in their industries, they don't specifically focus on ML consultancy as their primary business model, and they don't conduct fundamental AI research. The company is best categorized as ""Other"" with a strong confidence score.",1,,1,,"Edvantis is a software company that provides staff augmentation, digital transformation, software development, and IT consulting services.",Edvantis is a software company with a team of engineers providing innovation-based tech solutions. Edvantis has over 18 years of experience and more than 400 workers to offer its clients IT solutions.,,crunchbase search,https://www.crunchbase.com/organization/edvantis,,"Artificial Intelligence (AI), Consulting, Outsourcing, Software Engineering","Berlin, Berlin, Germany",287312,"European Union (EU), Europe, Middle East, and Africa (EMEA)",day,,,,,For Profit,edvantis,1953,https://www.facebook.com/edvantis/,https://x.com/edvantiscompany,https://www.edvantis.com/,,de.info@edvantis.com,,,,,,,,9,Private,,,,,,,,,,,,,,,,251-500,2,"Myroslav Mykhalchuk, Tetyana Huley","Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",Active,,,,,,,,,1.0,2.0,0.0,11,343,287,287,,287,287,,287,286,1.0,,,True,False,"Berlin, Berlin, Germany",343,Edvantis,,2005-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,edvantis,Edvantis
1531,ActiveFence,1.4 (ML Consultancy.Strong fit),1,1,,,ActiveFence enables trust and safety teams to protect their platforms and users from online harm - across content formats and abuse areas.,"ActiveFence is the leading tool stack for Trust & Safety teams, worldwide. By relying on ActiveFence’s end-to-end solution, Trust & Safety teams – of all sizes – can keep users safe from the widest spectrum of online harms, unwanted content, and malicious behavior, including child safety, disinformation, fraud, hate speech, terror, nudity, and more. Using cutting-edge AI and a team of world-class subject-matter experts to continuously collect, analyze, and contextualize data, ActiveFence ensures that in an ever-changing world, customers are always two steps ahead of bad actors. As a result, Trust & Safety teams can be proactive and provide maximum protection to users across a multitude of abuse areas, in 70+ languages.",,ML conferences affiliation data,https://www.crunchbase.com/organization/activefence,,"Computer, Cyber Security, SaaS, Software","New York, New York, United States",1361,"Greater New York Area, East Coast, Northeastern US",day,,,,,For Profit,activefence,1531,,https://twitter.com/ActiveFence,https://www.activefence.com,,inbalns@activefence.com,,,,5,1,,33793,10,Private,,,,,,,,,2,Made Acquisitions,"Norwest Venture Partners, Highland Europe, CRV, Vintage Investment Partners, Phoenix Financial",4,7,2,Early Stage Venture,251-500,4,"Alon Porat, Eyal Dykan, Iftach Orr, Noam Schwartz","Consumer Electronics, Hardware, Information Technology, Privacy and Security, Software",Active,,,,,,,,,9.0,10.0,2.0,80,334,260,258,2.0,260,257,3.0,259,252,7.0,,,True,True,"New York, New York, United States",334,ActiveFence,,2018-04-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,activefence,ActiveFence
1678,Futurewei Technologies,"3.4 (Other.Strong fit)

Futurewei appears to be primarily a research and innovation company focused on ICT (Information and Communications Technology) with emphasis on standardization, open source collaboration, and hardware/semiconductor/wireless technologies. While they may use or develop AI as part of their work, their primary focus seems to be broader technology research and standards development rather than specifically ML consulting (category 1) or pure AI research (category 2).",1,,1,,"Futurewei develops innovations to benefit an intelligent & digital society via standardization, open source, & collaboration with ecosystem.","Futurewei focuses research on advanced ICT domains that will benefit an intelligent and digital society. By focusing on open innovation beyond traditional ICT industry, we aim to advance these technologies into real world solutions through standardization, open source collaboration and partnering with industrial ecosystems.",,ML conferences affiliation data,https://www.crunchbase.com/organization/futurewei-technologies,,"Semiconductor, Wireless","Santa Clara, California, United States",243782,"San Francisco Bay Area, Silicon Valley, West Coast",year,,,,,For Profit,futureweitechnologiesinc.,1678,,,https://www.futurewei.com/,(214)919-6000,,14989350,USD,14989350,0,6489,,1325,5,Private,,,,,,,,,1,Made Acquisitions,,,,,,251-500,,,"Hardware, Mobile, Science and Engineering",Active,,,,,,,,,46.0,11.0,9.0,165,327,,,,,,,,,,,,True,True,"Santa Clara, California, United States",327,Futurewei Technologies,,2001-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,futureweitechnologiesinc.,Futurewei Technologies
51,TechAhead,3.5 (Other.Strong fit),1,,1,,TechAhead is a global leader in Mobile Platforms that is trusted by Fortune 500 companies to Startups.,"TechAhead is a premier provider of bespoke app development and UX design services, trusted by companies of all sizes - from Fortune 500 to startups. Since 2009, we have been delivering innovative and impactful solutions that have helped businesses and organizations across the globe. With a portfolio of over 2000 successful projects, we have a wealth of experience in delivering high-quality apps, digital products, and connected experiences that solve real-world problems. Our team of 240+ diverse professionals is the perfect blend of innovation and expertise. Our UX analysts based in Los Angeles are known for their cutting-edge ideas and meticulous attention to detail, while our programmers in India are leaders in creating advanced, futuristic solutions using the latest technologies. Together, we are a dynamic force that can bring your digital transformation to life. Let us help you achieve your business goals with our top-notch solutions.",,Manual Search + Network,https://www.crunchbase.com/organization/techahead,,Software,"Agoura Hills, California, United States",210948,"Greater Los Angeles Area, West Coast, Western US",day,,,,,For Profit,techahead,51,https://www.facebook.com/TechAhead,https://twitter.com/TechAhead,https://www.techaheadcorp.com,8183180727,sales@techaheadcorp.com,1607817,USD,1607817,,,38075.83,29710,3,Private,,,,,,,,,,,,,,,,101-250,1,Vikas Kaushik,Software,Active,,,,,,,,,6.0,2.0,0.0,14,310,281,281,,280,280,,279,278,1.0,,,True,True,"Agoura Hills, California, United States",310,TechAhead,,2009-12-23 00:00:00,Unknown,Unknown,0.0,0.0,0.0,techahead,TechAhead
858,Preferred Networks,"2.4

The description indicates that Preferred Networks (PFN) is primarily focused on developing practical applications of deep learning and conducting research across multiple domains (transportation, manufacturing, bio-healthcare, robotics, etc.). While they do create real-world applications, their broad focus on advancing deep learning technology across multiple fields, their exploration of fundamental areas like materials discovery, and their positioning as a technology developer rather than a service provider suggests they align more closely with category 2 (Pure AI Research). The 4 confidence score reflects a strong but not perfect fit, as they combine research with practical applications, positioning them somewhere between a pure research lab and a consultancy.",1,,1,,"Preferred Networks develops real-world applications of deep learning, robotics and other latest technologies.","Preferred Networks (PFN) was established in March 2014 in Tokyo with the goal to develop practical, real-world applications of deep learning, robotics and other latest technologies. PFN is currently focused on three priority areas – transportation systems, manufacturing and bio-healthcare – and also exploring the use of deep learning in personal robots, plant optimization, materials discovery, sports analytics and entertainment. PFN has a U.S. subsidiary in Burlingame, California.",,ML conferences affiliation data,https://www.crunchbase.com/organization/preferred-networks,,"Artificial Intelligence (AI), Biotechnology, Internet of Things, Machine Learning, Robotics, Software","Otemachi, Tokyo, Japan",13410,Asia-Pacific (APAC),day,,,,,For Profit,preferred-networks,858,https://www.facebook.com/PreferredNet/,https://x.com/preferrednet,https://www.preferred.jp,#ERROR!,dpo-office@preferred.jp,,,,13,210,48474.33,51290,11,Private,,,,,,,,,,,"Toyota Motor, MUFG Bank, Mizuho Bank, Mitsubishi Corporation, Sumitomo Mitsui Banking Corporation",3,21,10,,251-500,4,"Daisuke Okanohara, Morikawa Hiroyuki, Nishitoba Jiro, Toru Nishikawa","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Hardware, Internet Services, Science and Engineering, Software",Active,,,4,4,1,1,,,49.0,72.0,24.0,260,303,224,179,45.0,224,152,72.0,224,118,106.0,,,True,True,"Otemachi, Tokyo, Japan",303,Preferred Networks,,2014-03-26 00:00:00,Unknown,Unknown,0.0,0.0,0.0,preferred-networks,Preferred Networks
1702,Cloud Temple,"3.5 (Other.Strong fit)

The description clearly indicates Cloud Temple is focused on IT infrastructure services (transformation, hosting, and outsourcing) rather than ML consulting or AI research. It falls squarely in the ""Other"" category with a strong confidence score since it operates purely in traditional IT and cloud services domains with no mention of AI or machine learning capabilities.",1,,1,,"Cloud Temple specializes in transformation, IT hosting and outsourcing services.",,,ML conferences affiliation data,https://www.crunchbase.com/organization/cloud-temple,,"Cloud Infrastructure, Information Technology, Outsourcing","Nanterre, Ile-de-France, France",326629,"European Union (EU), Europe, Middle East, and Africa (EMEA)",day,,,,,For Profit,cloud-temple,1702,https://www.facebook.com/TheCloudTemple/,https://www.twitter.com/cloudtemple,https://www.cloud-temple.com/,,contact@cloud-temple.com,9807489,USD,9807489,2,0,,4853,7,Private,,,,,,,,,,,,,,,,101-250,,,"Hardware, Information Technology, Internet Services, Professional Services",Active,,,,,,,,,1.0,5.0,1.0,263,302,259,259,,258,257,1.0,257,255,2.0,,,True,True,"Nanterre, Ile-de-France, France",302,Cloud Temple,,2017-02-09 00:00:00,Unknown,Unknown,0.0,0.0,0.0,cloud-temple,Cloud Temple
2699,KAMTECH,"3.5 (Other.Strong fit)

This company is primarily an industrial engineering and consultancy firm that offers technology services including automation, IT, software development, and AI implementation as part of their broader portfolio. While they mention AI implementation, they don't appear to specialize in ML consultancy (category 1) or conduct fundamental AI research (category 2). Their core business revolves around engineering design, automation, and general technology consultancy across multiple industries, making them a strong fit for the ""Other"" category.",1,,1,,Kamtech is an information technology consulting company.,"Engineering and Design Excellence: Our in-house design team excels in process flow design, plant and machinery, equipment design, and selection, ensuring your infrastructure projects are built on a foundation of innovation. Automation and Predictive Maintenance Systems: We leverage the latest in Industry 4.0 technologies, to enhance efficiency and foresee maintenance needs, keeping you ahead in operational excellence. Tailored Consultancy Solutions: From project management and procurement to logistics, our bespoke consultancy services are designed to meet your unique requirements, ensuring project success from inception to execution. Innovative Technologies sourcing and customisation to local needs. At Kamtech, we focus on quality, safety, and sustainability, which has made us a trusted partner for both public and private sector clients. Our commitment to excellence and our track record of delivering projects on time and within budget has helped to establish us as a leading player in our areas of expertise. For your existing or new projects, whether it's diversification, business modernization, revamping, enhancing business efficiency, or sourcing new technologies, IT , software development or implementation of AI across the management and operations,",,crunchbase search,https://www.crunchbase.com/organization/kamtech,,"Consulting, Information Technology, Professional Services, Software","Jaipur, Rajasthan, India",3112205,Asia-Pacific (APAC),day,,,,,For Profit,kamtech-associates-pvt-ltd,2699,https://www.facebook.com/Kamtechassociates/,,http://www.kamtech.in/ www.itkamtech.com,"91-141-2607931, +919414046876",office@kamtech.in,,,,,,,,10,Private,,,,,,,,,,,,,,,,11-50,,,"Information Technology, Other, Professional Services, Software",Active,,,,,,,,,2.0,0.0,0.0,19,296,22,22,,22,22,,22,22,,,,True,False,"Jaipur, Rajasthan, India",296,KAMTECH,,1997-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,kamtech-associates-pvt-ltd,KAMTECH
790,Beyond Limits,1.4 (ML Consultancy.Strong fit),1,1,,,"Beyond Limits is an industrial and enterprise-grade AI technology company that focuses on energy, utilities and healthcare.","Beyond Limits is an Industrial and Enterprise-grade AI technology company that covers the full range of Artificial Intelligence, purpose-built for the most demanding sectors, including energy, utilities, and healthcare (as well as finance).  Beyond traditional artificial intelligence, Beyond Limits has developed powerful Cognitive AI that unifies human knowledge with machine learning techniques. Its technology provides decision makers with efficient, reliable guidance and clear, understandable recommendations for everyday operational challenges to the most complex, mission-critical situations. Customers use Beyond Limits AI to drastically boost operational insights, improve operating conditions, enhance performance at every level, and ultimately increase profits as a result.",,ML conferences affiliation data,https://www.crunchbase.com/organization/beyond-limits,,"Artificial Intelligence (AI), Energy, Health Care, Industrial, Machine Learning","Glendale, California, United States",7273,"Greater Los Angeles Area, West Coast, Western US",month,,,,,For Profit,beyond-ai,790,https://www.facebook.com/BeyondLimitsAI/,https://twitter.com/beyondlimitsai,http://www.beyond.ai/,#ERROR!,sales@beyond.ai,1605348,USD,1605348,5,10,,5324,3,Private,,,,,,,,,2,Made Acquisitions,"G42, BP Ventures",2,2,3,Late Stage Venture,251-500,2,"AJ Abdallat, Mark James","Artificial Intelligence (AI), Data and Analytics, Energy, Health Care, Manufacturing, Science and Engineering, Software",Active,,,,,,,,,18.0,3.0,1.0,89,295,162,162,,162,153,9.0,160,144,16.0,,,True,True,"Glendale, California, United States",295,Beyond Limits,,2014-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,beyond-ai,Beyond Limits
66,Kyanon Digital,"3.4 (Other.Strong fit)

This company appears to be a general digital transformation company offering a wide range of technology services. While they mention AI and Machine Learning as part of their capabilities (under ""Build & Engage"" and ""Analyse & Augment"" sections), these are just components of their broader service portfolio rather than their primary focus. They don't seem to specialize specifically in ML consulting (Category 1) or conduct fundamental AI research (Category 2). Instead, they function as a comprehensive digital solutions provider with AI/ML as one of many tools in their toolkit. Therefore, Category 3 (Other) is the most appropriate classification with a strong confidence score of 4.",1,,1,,Kyanon Digital - Making Digital Impact that Matters,"Kyanon Digital is a Vietnam based leading Digital & Technology Company empowering businesses to achieve Growth and Impact through Completed Technology Solutions. We are a trusted partner to Make Digital Impact. It’s not only about Technology, it’s about the impact of business processes, ensuring happy customer experience and optimizing operations. Founded in 2012, Kyanon Digital is a dynamic and forward-thinking agile digital transformation partner. With over 13 years of experience, more than 500 experts across Vietnam and Singapore, and offices in Vietnam, Singapore, Thailand, Australia and Malaysia. Recognized 4 years in a row (2020–2024) by VINASA for excellence in digital transformation, e-commerce & logistics solutions, Kyanon Digital is also recognized regionally for innovation and impactful digital solutions at Asian Technology Excellence Award 2023. Our Five Core Services: 1. Strategise & Plan We help define technology goals, develop architectural strategies, and create roadmaps to guide digital transformation journeys. 2. Build & Engage Delivering high-quality, scalable solutions through custom software, web and mobile app development, AI, and Big Data, driven by agile methodologies and a human-centric design approach. 3. Integrate & Automate Enhancing efficiency through composable architecture, middleware integration, and secure, high-performance systems that automate and streamline workflows. 4. Analyse & Augment Empowering organizations with data-driven insights through advanced analytics, data warehousing, governance, and cutting-edge AI/GenAI solutions. 5. Operate & Support Providing ongoing support and optimization services, including data entry, content moderation, managed services, and tailored e-commerce support. Ready to Drive Real Digital Impact? Partner with Kyanon Digital to transform your business through strategy, technology, and innovation. Contact us today to get started!",,Manual Search + Network,https://www.crunchbase.com/organization/kyanon-digital,,"Artificial Intelligence (AI), Banking, Big Data, Fast-Moving Consumer Goods, Financial Services, Food and Beverage, Machine Learning, Marketing, Retail","Ho Chi Minh City, NA - Vietnam, Vietnam",259085,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",day,,,,,For Profit,kyanon,66,https://www.facebook.com/kyanon.digital/,https://twitter.com/kyanondigital,https://kyanon.digital/,(+84) 28 3517 1080,contact@kyanon.digital,,,,,,,12472,8,Private,,,,,,,,,,,,,,,,251-500,1,Tai Huynh,"Artificial Intelligence (AI), Commerce and Shopping, Consumer Goods, Data and Analytics, Financial Services, Food and Beverage, Lending and Investments, Real Estate, Sales and Marketing, Science and Engineering, Software",Active,,,,,,,,,2.0,5.0,1.0,6,294,211,211,,211,210,1.0,211,207,4.0,,,True,True,"Ho Chi Minh City, NA - Vietnam, Vietnam",294,Kyanon Digital,,2012-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,kyanon,Kyanon Digital
888,LightOn,"1.4

The description clearly indicates that LightOn develops Foundation models and Large Language Models (LLMs) for enterprise applications, which aligns with category 1 (ML Consultancy). The company appears to be providing AI solutions and services to enterprises rather than conducting pure fundamental AI research. The strong focus on delivering GenAI to enterprise customers and the listed categories (AI, Data and Analytics, Science and Engineering, Software) further support this classification. I've assigned a confidence score of 4 (Strong fit) because while it clearly fits category 1, it may have some research components, though the enterprise focus is predominant.",1,1,,,LightOn delivers amazing GenAI ​to Enterprise,LightOn develops Foundation models or Large Language Models based AI to achieve unparalleled innovation and operational efficiency in the Enterprise.,,ML conferences affiliation data,https://www.crunchbase.com/organization/lighton,,"Artificial Intelligence (AI), Enterprise Software, Generative AI, Natural Language Processing","Paris, Ile-de-France, France",17700,"European Union (EU), Europe, Middle East, and Africa (EMEA)",month,2024-11-26,day,,,For Profit,lighton,888,,https://www.twitter.com/lightonio,http://www.lighton.ai,,contact@lighton.ai,,,,0,1,,9981,8,Public,2024-11-26,,,,,,,,,,"Quantonation, Anorak Ventures, CEA Investissement",,3,3,IPO,11-50,4,"Florent Krzakala, Igor Carron, Laurent Daudet, Sylvain Gigan","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Active,,,,,,,,,6.0,5.0,0.0,59,287,50,45,5.0,50,42,8.0,50,37,13.0,,,True,True,"Paris, Ile-de-France, France",287,LightOn,,2016-06-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,lighton,LightOn
2511,Software Systems,1.3 (ML Consultancy.Moderate fit),1,1,,,"Software Systems provides IT solutions and services, including digital transformation and ESG software solutions.","Software Systems offers enterprise IT solutions and services designed to assist governments and businesses in improving operational efficiency. Their products include Enterprise Content Management systems that enable organizations to manage and automate document-centric processes. They also deliver analytics and artificial intelligence services, assisting businesses in deriving insights from their data. Additionally, they provide bespoke application development and consulting services, tailoring solutions to meet client requirements. The company emphasizes partnership and career development as core elements of its business philosophy.",,crunchbase search,https://www.crunchbase.com/organization/software-systems-531d,,"Analytics, Consulting, Information Technology","Muscat, Masqat, Oman",1995814,"Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East",year,,,,,For Profit,software-systems-llc,2511,,https://twitter.com/ssl_oman,https://www.ssloman.com,#ERROR!,info@ssloman.com,,,,,,,,10,Private,,,,,,,,,,,,,,,,51-100,,,"Data and Analytics, Information Technology, Professional Services",Active,,,,,,,,,0.0,0.0,0.0,27,264,57,57,,57,57,,57,57,,,,True,False,"Muscat, Masqat, Oman",264,Software Systems,,1991-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,software-systems-llc,Software Systems
100,Q agency,"3.5 (Other.Strong fit)

The description clearly indicates Q agency is primarily a software development and design services company that focuses on IT, mobile apps, web development, and general software services. There's no mention of machine learning, AI research, or related technologies, making it a strong fit for the ""Other"" category rather than ML Consultancy or Pure AI Research.",1,,1,,Q agency engages in software and design services.,,,Manual Search + Network,https://www.crunchbase.com/organization/q-agency,,"Information Technology, Mobile Apps, Software, Web Development","Zagreb, Grad Zagreb, Croatia",1007175,"European Union (EU), Europe, Middle East, and Africa (EMEA)",day,,,,,For Profit,q_agency,100,https://www.facebook.com/WhateverTheQ/,,http://q.agency/,385-1-4816-175,hello@q.agency,,,,,,,4451,6,Private,,,,,,,,,,,,,,,,101-250,,,"Apps, Information Technology, Mobile, Software",Active,,,,,,,,,2.0,0.0,0.0,15,261,214,214,,214,213,1.0,212,210,2.0,,,True,False,"Zagreb, Grad Zagreb, Croatia",261,Q agency,,2013-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,q_agency,Q agency
